	Predictions													Projections												
knotter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.107330304	-0.142148993	-0.123724403	-0.139587348	-0.229026431	-0.209269813	-0.379862733	-0.560413813	-0.602517509	-0.426056557	-0.271187913	-0.132663258	-0.317664873
knuckler	2	2	2	2	1	1	1	1	1	1	1	1	1	0.13384587	0.105259353	0.164453783	0.039675327	-0.047435532	-0.192900852	-0.293331386	-0.442117243	-0.394260394	-0.4057768	-0.271805697	-0.304219423	-0.039667167
labeler	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.304166691	-0.333719406	-0.36355174	-0.313808648	-0.314965161	-0.244213923	-0.218574372	-0.525382857	-0.578667952	-0.500184049	-0.553671652	-0.469360588	-0.45465477
laborer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.224995634	-0.272422013	-0.38741795	-0.431835578	-0.263724692	-0.200376545	-0.270679435	-0.39529917	-0.435429219	-0.452557879	-0.405118719	-0.082075936	-0.309869548
labourers	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.28966763	-0.419904178	-0.270128303	-0.320676604	-0.146647616	-0.032565575	-0.137310205	-0.144210745	-0.24667807	-0.074298733	-0.257721875	-0.318801952	-0.369589773
lacemaker	2	2	2	2	2	2	2	2	2	2	2	2	2	0.271751635	0.265959283	0.332822077	0.418678034	0.350925461	0.118576466	0.021827446	0.099329544	0.314231456	0.486147742	0.55757736	0.449653008	0.841007334
laceworker	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.027273592	-0.099122316	-0.027129647	-0.061266888	-0.180641169	-0.049379112	-0.117526174	-0.218518664	-0.069430116	-0.018960162	0.101485843	0.274901291	0.514412114
lacquerer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.217036476	-0.189053154	-0.252679298	-0.254966439	-0.305163655	-0.250231324	-0.430704011	-0.445992086	-0.472940239	-0.369875128	-0.215378471	-0.134267672	-0.052821114
ladderman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.528942125	-0.520271489	-0.601508729	-0.585845278	-0.500238015	-0.453923201	-0.497370936	-0.583260403	-0.696224981	-0.596051531	-0.481821997	-0.353922444	-0.741872019
ladler	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.38728809	-0.365125164	-0.300197643	-0.462553657	-0.531187226	-0.43514773	-0.578598643	-0.818053746	-0.674501776	-0.812334509	-0.570089978	-0.396682771	-0.339633306
laminator	1	1	1	1	1	1	1	2	2	2	2	2	2	-0.119284922	-0.203729192	-0.212423964	-0.047222495	-0.094268694	-0.092510976	-0.100543027	0.060483574	0.095139383	0.122150202	0.161971567	0.20542405	0.132140889
landman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.5014962	-0.511174146	-0.460502432	-0.54039991	-0.55977543	-0.716119541	-0.613646043	-0.741636213	-0.514066116	-0.625652161	-0.527568331	-0.485759101	-0.184793764
landmen	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.309066146	-0.475790283	-0.439499342	-0.474439918	-0.364929733	-0.191163723	-0.223048767	-0.340520515	-0.416005033	-0.31898866	-0.106849905	0.128696389	0.326982913
landscaper	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.308475455	-0.270654556	-0.302080466	-0.361742588	-0.338314537	-0.251402741	-0.389266041	-0.528341683	-0.656138729	-0.60948246	-0.652131958	-0.540876761	-0.516735613
lapeler	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.333512491	-0.356447278	-0.386752407	-0.32169317	-0.412031336	-0.340683496	-0.42437526	-0.561126787	-0.353891149	-0.425283652	-0.261822795	-0.198740713	-0.272953051
lapidarist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.031159763	-0.160778743	-0.107665055	-0.019206548	-0.025859347	-0.019137059	-0.172748676	-0.148322862	-0.125804427	-0.01517498	-0.109552009	-0.029061123	-0.079286777
lapper	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.215161773	-0.234405659	-0.26296134	-0.162002765	-0.279382705	-0.467252767	-0.678226357	-0.767490916	-0.751192924	-0.770503825	-0.647725857	-0.534912057	-0.565281378
larriman	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.185365915	-0.160611077	-0.126613821	-0.087499049	-0.057114511	-0.102124308	-0.030128599	-0.190675005	-0.060410217	-0.229591098	-0.027253648	0.03502785	-0.154967388
laryngologist	2	2	2	2	2	1	1	1	1	1	1	2	2	0.043651036	0.028912923	0.097419139	0.170918715	0.039969565	-0.052960237	-0.167055661	-0.271558686	-0.122375899	-0.132609157	-0.138174837	0.120411874	0.129330651
laserist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.165435396	-0.372322262	-0.433370584	-0.462964058	-0.435249023	-0.50507749	-0.589826882	-0.622711359	-0.413782303	-0.345479873	-0.367984383	-0.277947116	-0.630075031
latcher	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.04739473	-0.125294992	-0.105463975	-0.127662873	-0.271952367	-0.299210826	-0.321679779	-0.479431822	-0.639718214	-0.66064818	-0.609072508	-0.831779171	-0.748896876
latexer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.211173523	-0.175142794	-0.129833409	-0.06682481	-0.165542985	-0.229363049	-0.344613719	-0.416805944	-0.403222312	-0.328832033	-0.138215873	-0.013207179	-0.182504373
lathmaker	1	2	2	2	2	1	1	1	1	1	1	1	1	0.002509859	0.033926276	0.077234686	0.084515848	0.018150594	-0.044873245	-0.221569244	-0.342141117	-0.259381906	-0.276929611	-0.211089317	-0.345475919	-0.307765167
launchman	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.324249373	-0.253769725	-0.262557442	-0.263575219	-0.274672986	-0.284246777	-0.349893006	-0.386218185	-0.502677062	-0.237989744	-0.054698976	0.15697326	0.145004776
lawyer	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.318088188	-0.358661936	-0.455767946	-0.313971704	-0.221763576	-0.024218949	-0.143379589	-0.196674683	-0.230590068	-0.031955281	0.18636622	0.286029982	-0.306441839
lawyers	1	1	1	1	1	1	1	1	1	2	2	2	2	-0.2732246	-0.364593831	-0.465797747	-0.339274274	-0.282815791	-0.182229033	-0.25716138	-0.259196409	-0.20413236	0.031063612	0.219106311	0.116321486	0.135785801
lcpc	2	2	2	2	2	2	2	2	2	2	2	2	2	0.247317228	0.165756064	0.269034403	0.342673018	0.438343157	0.221187126	0.154072713	0.107429741	0.111200508	0.099973014	0.081183075	0.047408563	0.150730565
lcsw	2	2	2	2	1	2	1	1	1	1	1	1	1	0.23950917	0.063015311	0.043832152	0.054117027	-0.061376765	0.016555615	-0.175532813	-0.186830173	-0.217719125	-0.350131147	-0.183582246	-0.438537901	-0.090465854
leacher	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.243296313	-0.239984073	-0.21606031	-0.23813286	-0.246378653	-0.220272771	-0.293930843	-0.318196797	-0.363250921	-0.445771117	-0.597596275	-0.73055124	-0.567185863
leadlighter	1	1	1	1	1	2	1	1	1	1	1	2	2	-0.030289046	-0.094932335	-0.07613721	-0.084152683	-0.016094726	0.044946178	-0.093428336	-0.175684608	-0.239372687	-0.051309324	-0.07274382	0.25354908	0.105328028
leathersmith	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.02510479	-0.221538436	-0.350324759	-0.291830548	-0.228654797	-0.350703234	-0.478258372	-0.466388672	-0.527396725	-0.455968788	-0.348858237	-0.267753491	-0.176854148
legislators	1	1	1	1	2	2	2	2	1	2	2	1	1	-0.199990651	-0.032064473	-0.087716368	-0.065190294	0.155025498	0.272788811	0.199001769	0.125477817	-0.034538185	0.215239215	0.030051402	-0.110255507	-0.401435348
lepidopterist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.175689794	-0.276323804	-0.259940308	-0.292884921	-0.260468101	-0.181181548	-0.332149524	-0.383879683	-0.386287558	-0.377400889	-0.394684926	-0.015718987	-0.093691526
letterer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.132172535	-0.148529109	-0.12122448	-0.257519567	-0.171017493	-0.196577891	-0.15969235	-0.404602292	-0.571792187	-0.543967169	-0.503065091	-0.262259953	-0.652744164
leveler	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.214100001	-0.237517504	-0.23017932	-0.163641648	-0.197010116	-0.184547707	-0.301542266	-0.484614194	-0.568685431	-0.596035726	-0.543163991	-0.463239537	-0.64146953
levelman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.423386755	-0.447726482	-0.499419234	-0.373831393	-0.306620782	-0.291684828	-0.41031817	-0.550190226	-0.547731854	-0.530708519	-0.279706529	-0.284429798	-0.378291829
leverman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.610712707	-0.528368653	-0.475479282	-0.48163818	-0.573905059	-0.607498669	-0.57581835	-0.679813971	-0.71716753	-0.764439292	-0.350653698	-0.234021934	-0.232219424
lgsw	2	1	2	2	2	2	1	1	1	1	1	1	1	0.018214001	-0.040799625	0.012036513	0.13771459	0.053298085	0.054296721	-0.071547478	-0.086952338	-0.224917654	-0.273087254	-0.232456674	-0.046239004	-0.354418667
librarian	2	2	2	2	2	2	2	2	1	2	2	2	1	0.247416872	0.271360162	0.140170904	0.181090996	0.1945394	0.313906409	0.152268976	0.019909957	0.001215433	0.207182116	0.291562457	0.33530215	-0.179771283
licsw	2	2	1	2	2	1	1	1	1	1	1	1	1	0.083145119	0.028266788	-0.005815539	0.133873918	0.014000359	-0.06003766	-0.217941156	-0.274331097	-0.169251572	-0.147643104	-0.058746258	-0.001451982	-0.003409166
lidder	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.195296369	-0.199748358	-0.091547444	-0.007526328	-0.166012197	-0.015957582	-0.282471318	-0.253091905	-0.27169869	-0.329936112	-0.329132248	-0.263304662	-0.409150208
lifeguard	1	1	1	1	1	2	2	2	2	2	2	2	2	-0.124851837	-0.281622554	-0.236141179	-0.176759606	-0.080558898	0.091930013	0.125892518	0.296559573	0.19651932	0.368157905	0.770640012	0.936425781	0.318464475
lifter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.089378889	-0.116163822	-0.173690057	-0.223919895	-0.297576277	-0.3001643	-0.357976341	-0.44577906	-0.503163271	-0.343685452	-0.494435815	-0.355653557	-0.81010772
lighter	2	2	2	2	2	2	1	2	1	1	1	2	2	0.223879149	0.100106077	0.131759348	0.158629661	0.172945624	0.143178286	-0.026256555	0.152806485	-0.083889063	-0.022282883	-0.128281244	0.00524263	0.036904631
limnologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.162660101	-0.250879778	-0.345564672	-0.438954555	-0.452800109	-0.372475768	-0.450268129	-0.559575302	-0.555192524	-0.533611509	-0.44253613	-0.247232216	-0.428841655
lineman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.158171226	-0.177315401	-0.136962405	-0.290010566	-0.198084817	-0.115869245	-0.175864799	-0.06450102	-0.31276519	-0.170413884	-0.227813584	-0.310516479	-0.576399542
linemarker	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.23598975	-0.280488524	-0.208610632	-0.365835484	-0.39728922	-0.247641559	-0.350006304	-0.387249246	-0.410129887	-0.446502587	-0.240677015	-0.096097231	0.064157239
linesperson	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.116288767	-0.23419038	-0.207437119	-0.309410986	-0.16714723	-0.182151468	-0.272419241	-0.34993663	-0.447377656	-0.249455945	-0.365235742	-0.47525055	-0.341729474
lineworker	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.195103626	-0.295056879	-0.187517749	-0.314731915	-0.432000544	-0.310970789	-0.323045354	-0.510873487	-0.505114971	-0.461700626	-0.288092483	-0.243440591	-0.593713551
linotyper	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.063944213	-0.021733529	-0.135271776	-0.185627576	-0.35657433	-0.59657894	-0.695397114	-0.741234871	-0.7582908	-0.692779462	-0.600212945	-0.447676095	-0.248830294
linotypist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.221337001	-0.255177779	-0.355213708	-0.376066409	-0.297114267	-0.38627906	-0.490443569	-0.520012251	-0.52108266	-0.40529705	-0.579278085	-0.460027108	-0.553131274
liquefier	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.327876116	-0.225875671	-0.31727805	-0.313741783	-0.287665022	-0.31624297	-0.3247988	-0.303628194	-0.108841473	-0.122843827	0.110496507	0.298893879	0.214362073
lisw	2	1	1	2	1	2	2	2	2	2	2	1	1	0.094416175	-0.00019341	-0.027207589	0.024625058	-0.135739635	0.046141298	0.05356498	0.067101585	0.116559133	0.06644917	0.009768512	-0.182116105	-0.127863734
lithostripper	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.255035934	-0.413550279	-0.361182934	-0.419534328	-0.379530907	-0.314568885	-0.280302096	-0.444078484	-0.439943136	-0.162304281	-0.204134948	0.285129303	0.124086392
litigator	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.187765746	-0.29442726	-0.210576691	-0.340081784	-0.399726414	-0.310495308	-0.309921239	-0.322151731	-0.285884419	-0.314676663	0.243058806	0.460158904	0.42238969
lmft	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.048407745	-0.177259846	-0.066019123	0.085661879	-0.054338923	-0.057500331	-0.156170801	-0.134273504	-0.260612049	-0.483665089	-0.339386984	-0.333593484	-0.096939087
lmsw	2	1	1	2	2	2	2	2	1	1	2	2	2	0.046023012	-0.003924951	-0.026848306	0.139696298	0.127177488	0.199294582	0.042371605	0.089400885	-0.115445245	-0.003912516	0.301722909	0.619612711	0.409725868
lna	2	2	2	2	2	2	2	2	1	1	1	1	1	0.150340538	0.174387436	0.205783066	0.37798243	0.210204454	0.249404597	0.079198693	0.143180437	-0.033275953	-0.116904013	-0.487836016	-0.676665498	-0.804331494
loader	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.041833214	-0.098763804	-0.131602892	-0.166037226	-0.253357665	-0.288616314	-0.431563338	-0.525088781	-0.54972149	-0.427884258	-0.272920876	-0.007154521	-0.173177938
loaders	2	1	1	1	1	1	1	1	1	1	1	1	1	0.063271255	-0.050091559	-0.190839123	-0.174334843	-0.279657666	-0.384173386	-0.459578423	-0.624270468	-0.566420623	-0.373285065	-0.298568206	-0.19609844	-0.670836363
loadmaster	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.157074685	-0.195796793	-0.270412674	-0.209993258	-0.222943177	-0.25438485	-0.439957494	-0.464862546	-0.523929659	-0.376521479	0.005306321	0.24102965	0.247742795
lobbyist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.068121837	-0.190539206	-0.319920421	-0.35143145	-0.435957507	-0.455483019	-0.380482588	-0.440634549	-0.265998441	-0.257948183	-0.040955312	0.143666347	-0.518560362
lobsterman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.445923942	-0.385534197	-0.444639972	-0.443412194	-0.365814882	-0.404309867	-0.493554027	-0.591780715	-0.620510709	-0.488987441	-0.271143443	-0.027499552	-0.084469005
locator	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.287059007	-0.511281488	-0.506574291	-0.573371555	-0.586166271	-0.522989478	-0.441260363	-0.544370715	-0.434166572	-0.479040623	-0.32998846	-0.032213622	0.126355713
lockmaker	2	2	2	2	1	1	1	1	1	1	1	1	1	0.181790933	0.140910373	0.130563087	0.093161006	-0.105047985	-0.260961109	-0.337402138	-0.340706467	-0.361716059	-0.143201779	-0.237615774	-0.20654379	-0.255563802
locksmith	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.015532607	-0.133686226	-0.108861319	-0.080737359	-0.18130632	-0.069580925	-0.238239203	-0.276139555	-0.314801778	-0.244869786	-0.198616528	-0.164553729	-0.167454636
lockstitcher	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.197591093	-0.208382914	-0.235060055	-0.254231188	-0.202109407	-0.002677116	-0.033485036	-0.191303649	-0.240054991	-0.116128813	-0.063555405	-0.00345031	-0.04805196
lofter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.179455608	-0.241192824	-0.290491184	-0.180759197	-0.237633987	-0.330858997	-0.323704008	-0.554650396	-0.5340962	-0.669520399	-0.566988706	-0.486162651	-0.45380963
loftsman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.200597404	-0.378194989	-0.546600708	-0.466616768	-0.599059133	-0.689257455	-0.798796701	-0.834665932	-0.758639018	-0.885149431	-0.678817282	-0.697706477	-0.683115559
logger	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.15100882	-0.312202083	-0.401802524	-0.3894308	-0.472093558	-0.364381976	-0.644585313	-0.886993844	-0.867972409	-0.77459724	-0.767289958	-0.384834395	-0.124362448
logistician	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.209293895	-0.327049144	-0.36910597	-0.501129428	-0.655780922	-0.775345482	-0.907624012	-0.974577219	-0.99215834	-0.975331342	-1.218822574	-0.868013136	-1.288142683
lopper	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.126639223	-0.272466285	-0.385237961	-0.397892094	-0.381763966	-0.402813686	-0.432733473	-0.400189957	-0.363529049	-0.337654791	0.039490822	0.037202276	-0.163019101
lpc	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.173101182	-0.34288571	-0.398655506	-0.340041877	-0.379129439	-0.541917193	-0.528659761	-0.619169102	-0.692816298	-0.828335284	-0.848846365	-0.759206709	-0.927562004
lpn	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.087236052	-0.205947653	-0.164063317	-0.112267629	-0.211885677	-0.309886181	-0.273723997	-0.361349505	-0.444511761	-0.549406904	-0.556386542	-0.413900395	-0.684227166
lpta	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.190558712	-0.243842378	-0.289669044	-0.141651923	-0.221711322	-0.168195689	-0.099951266	-0.225575514	-0.289631862	-0.323059081	-0.381421924	-0.369396728	-0.659228656
lsw	2	2	1	2	1	1	1	1	1	1	1	1	2	0.097134707	0.031758061	-0.000432137	0.025819593	-0.230445598	-0.068703774	-0.154312592	-0.16308397	-0.284005037	-0.466942385	-0.089457561	-0.165902665	0.238501691
lugger	1	1	1	2	1	2	1	1	1	1	1	2	1	-0.051146447	-0.056434744	-0.01835533	0.004625772	-0.114160653	0.004399906	-0.165034828	-0.299763507	-0.585107953	-0.408599237	-0.075840552	0.324559932	-0.644053391
lurer	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.169970914	-0.154007809	-0.18148982	-0.065126137	-0.22336371	-0.20815403	-0.201300079	-0.266338483	-0.310029256	-0.177170374	-0.073972103	0.096764044	-0.04283006
lusterer	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.219012558	-0.193065176	-0.295229278	-0.410673974	-0.285297692	-0.240833873	-0.16659057	-0.277546626	-0.234300342	-0.283492215	-0.163376897	-0.028433767	0.098588758
lvn	2	2	2	2	2	1	2	1	1	1	1	1	1	0.021487999	0.066006451	0.064492889	0.171008323	0.025298912	-0.057156526	0.004177038	-0.066280242	-0.144838658	-0.222459557	-0.277945402	-0.256778061	-0.374068471
machinist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.12185167	-0.166600349	-0.130268731	-0.201504597	-0.281108788	-0.178466825	-0.36401423	-0.504408446	-0.635111638	-0.457848285	-0.470210423	-0.145414226	-0.058094874
magistrate	1	1	1	1	2	2	1	2	1	2	2	2	2	-0.144997005	-0.274941584	-0.30949264	-0.086837255	0.120174823	0.125172231	-0.008639783	0.084305811	-0.198048784	0.098163504	0.393694023	0.439180358	0.547877175
magnetizer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.172005971	-0.11795916	-0.137701906	-0.038555309	-0.052147327	-0.020894914	-0.026782663	-0.175358391	-0.33026313	-0.196507353	-0.429960363	-0.354525014	-0.618355635
mailer	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.127877091	-0.161120406	-0.280817312	-0.326517315	-0.438895617	-0.515981481	-0.604201607	-0.631682353	-0.67435416	-0.606981072	-0.412912154	-0.471076158	0.234021642
mailmaster	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.243118561	-0.1642724	-0.281222665	-0.241038831	-0.211094062	-0.205091678	-0.387340008	-0.389107353	-0.476383933	-0.280079975	-0.094947723	0.128217725	0.25516999
malariologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.086250927	-0.12245002	-0.124312636	-0.278997935	-0.313821197	-0.353945597	-0.413785138	-0.626712411	-0.508716645	-0.407005471	-0.357026731	-0.197004563	-0.185130176
maltster	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.201319894	-0.258633416	-0.277769285	-0.310364295	-0.382827376	-0.287457472	-0.328783475	-0.518015351	-0.371470875	-0.403429203	-0.307391843	-0.092736613	-0.255828865
mammalogist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.001988867	-0.058157095	-0.143372146	-0.075112835	-0.014735011	-0.21187467	-0.347317131	-0.429025668	-0.626666431	-0.46646199	-0.335553227	-0.161676449	-0.255302271
mammographer	2	2	2	2	2	2	2	2	1	2	2	2	2	0.148082038	0.05247193	0.089406613	0.11745403	0.133882673	0.135645149	0.122464618	0.050522652	0.002916811	0.129957705	0.234358374	0.30428401	0.499404204
manager	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.142679656	-0.184927645	-0.325994991	-0.302551472	-0.316639869	-0.136145071	-0.275543464	-0.39306068	-0.628196376	-0.449604315	-0.162742332	-0.208786287	-0.40732328
manufacturer	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.303916047	-0.349529257	-0.494960735	-0.261326191	-0.405070945	-0.410140293	-0.351954764	-0.306838256	-0.492226185	-0.279432324	-0.364783321	-0.542517104	0.099760671
manugrapher	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.217554855	-0.273964595	-0.222664436	-0.319275958	-0.406230549	-0.22032673	-0.312255318	-0.509338611	-0.525680513	-0.445836116	-0.623308178	-0.488199008	-0.534200604
mapper	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.152696639	-0.233122093	-0.150126291	-0.15547131	-0.277788574	-0.365023136	-0.495160235	-0.580685756	-0.744640109	-0.561046361	-0.477810334	-0.280316522	0.10104892
marbleizer	1	1	1	2	2	2	2	1	1	2	1	1	1	-0.258779148	-0.169686522	-0.058620025	0.056618745	0.058030258	0.142648413	0.02972253	-0.052136832	-0.103938389	0.025051025	-0.07335452	-0.194757654	-0.218846446
marinator	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.150339635	-0.198157178	-0.303654485	-0.307929679	-0.260961172	-0.331769694	-0.452814265	-0.398925869	-0.210718593	-0.133746644	0.037685562	0.105137205	-0.067143744
marketer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.197146044	-0.164261794	-0.159148791	-0.115059353	-0.181231314	-0.178531756	-0.18499743	-0.254004804	-0.257854644	-0.261498172	-0.441744571	-0.279526667	-0.45142472
massotherapist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.100107848	-0.255192902	-0.221848664	-0.276715615	-0.307565354	-0.124543157	-0.175819145	-0.327730138	-0.356261184	-0.31764508	-0.265287378	0.065843494	-0.197969642
masticator	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.24869716	-0.359234991	-0.405080394	-0.422461004	-0.452821093	-0.368473246	-0.258583221	-0.28387662	-0.197344849	-0.049275048	0.271602211	0.555629564	0.111926211
matcher	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.156431274	-0.061641124	-0.053403254	-0.009670939	0.002113645	-0.008029916	-0.106442172	-0.325330175	-0.507491197	-0.478583944	-0.359523809	-0.198393048	-0.208018845
mathematician	2	1	1	1	1	1	1	1	1	1	1	1	1	0.009833235	-0.063829509	-0.204592996	-0.187017032	-0.056397914	-0.08212439	-0.276942357	-0.267726832	-0.442243194	-0.107154866	-0.172144962	-0.208223342	-0.757823391
measurer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.335861394	-0.24398398	-0.186052956	-0.078562648	-0.133234274	-0.203776664	-0.277859011	-0.296995886	-0.41346634	-0.404296485	-0.505030781	-0.333537833	-0.629517025
meatcutter	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.083973941	-0.134900929	-0.125556671	-0.128560281	-0.049430147	-0.106261197	-0.270564606	-0.329421148	-0.518306428	-0.257719605	-0.033899835	0.23005622	0.341435125
meatman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.395324109	-0.377155211	-0.424451006	-0.355753392	-0.163814919	-0.361719591	-0.418918724	-0.505874765	-0.658671194	-0.64366396	-0.17521005	-0.062970212	-0.169793645
mechanic	1	1	1	1	2	2	2	2	1	2	2	2	2	-0.371616271	-0.313989399	-0.486267338	-0.267233037	0.020836002	0.288858628	0.119560145	0.060837221	-0.201201759	0.076828948	0.130196239	0.173415806	0.094318568
mechanist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.22807555	-0.276082792	-0.341017394	-0.371626664	-0.443038005	-0.622386524	-0.728256173	-0.747118399	-0.620355358	-0.635426775	-0.769532458	-0.670745492	-0.84849258
mechanotherapist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.154398859	-0.256004646	-0.237151443	-0.266448601	-0.278439944	-0.25912012	-0.302272253	-0.455917424	-0.438726396	-0.347126797	-0.359764568	-0.100817208	-0.261045634
mediator	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.199311514	-0.243576388	-0.417070257	-0.332198088	-0.386642343	-0.549833603	-0.442127821	-0.570620521	-0.451647778	-0.497309431	-0.304219671	-0.129204512	-0.247344237
mercerizer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.355406049	-0.288854139	-0.3222664	-0.32186209	-0.305453122	-0.4574859	-0.621071656	-0.680225635	-0.526182208	-0.712346083	-0.65018985	-0.632943311	-0.353219402
merchandiser	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.171894313	-0.15949119	-0.226696316	-0.193339373	-0.259538246	-0.204592429	-0.135419381	-0.317591395	-0.402806393	-0.173178672	-0.095340329	-0.022262203	-0.223826728
meringuer	2	2	2	2	1	1	1	1	1	1	2	2	2	0.034101867	0.117158464	0.119138304	0.082993616	-0.212850992	-0.087240756	-0.010160806	-0.099411282	-0.130282708	-0.086325713	0.071549176	0.197171227	0.002335842
mesmerist	1	1	1	1	1	1	1	1	1	2	2	2	2	-0.132567295	-0.182931506	-0.193595079	-0.206545191	-0.185073698	-0.015534252	-0.03967215	-0.061761509	-0.007459357	0.070146941	0.160075004	0.236964458	0.273559393
metalizer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.352646119	-0.254901155	-0.275640437	-0.17186607	-0.16615998	-0.109387125	-0.21038875	-0.367285297	-0.4504678	-0.323846947	-0.427638575	-0.394444519	-0.488027213
metallographer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.056412554	-0.085929264	-0.07215218	-0.203553469	-0.239906928	-0.244334509	-0.416257495	-0.580376661	-0.615292821	-0.480465432	-0.749944979	-0.451679525	-0.460950118
metalsmith	2	1	2	2	2	2	1	1	1	1	1	1	2	0.055213689	0.000406839	0.125673823	0.172743465	0.169558316	0.265481631	-0.011061778	-0.098197366	-0.287957341	-0.186884107	-0.236229863	-0.065521632	0.261540479
metalworker	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.186644536	-0.256915928	-0.275492817	-0.280017062	-0.305832808	-0.278172978	-0.347459331	-0.553218202	-0.711149094	-0.663167806	-0.685717551	-0.393911767	-0.4318415
metaphysician	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.089157	-0.061257242	-0.086908207	-0.116476556	-0.165659583	-0.123214607	-0.191938828	-0.30897074	-0.434113158	-0.535813657	-0.560878158	-0.324904165	-0.502628608
